Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Brazil,Serie A,2018,07/06/2018,01:00,Corinthians,Santos,1,1,D,2.02,3.33,4.2,2.5,3.4,4.45,2.03,3.13,3.9
Brazil,Serie A,2018,07/06/2018,01:00,Sport Recife,Atletico-PR,1,0,H,2.06,3.55,3.75,2.12,3.65,3.86,2.03,3.38,3.61
Brazil,Serie A,2018,07/06/2018,01:45,Cruzeiro,Vasco,1,1,D,1.34,4.87,12.12,1.38,4.9,12.25,1.34,4.53,10.44
Brazil,Serie A,2018,07/06/2018,01:45,Gremio,Palmeiras,0,2,A,2.03,3.19,4.41,2.09,3.35,4.8,2,3.12,4.03
Brazil,Serie A,2018,08/06/2018,00:00,Fluminense,Flamengo RJ,0,2,A,4.8,3.23,1.94,5.16,3.42,1.97,4.45,3.2,1.89
Brazil,Serie A,2018,08/06/2018,00:00,Parana,Bahia,1,0,H,2.5,3.08,3.24,2.58,3.14,3.26,2.47,2.93,3.13
Brazil,Serie A,2018,08/06/2018,01:00,America MG,Atletico-MG,1,3,A,4.58,3.47,1.9,5.02,3.83,1.95,4.27,3.41,1.86
Brazil,Serie A,2018,09/06/2018,20:00,Atletico-PR,Sao Paulo,0,1,A,2.87,3.17,2.71,2.89,3.22,2.78,2.76,3.08,2.65
Brazil,Serie A,2018,09/06/2018,23:00,Chapecoense-SC,Cruzeiro,2,0,H,3.58,3.17,2.28,3.72,3.2,2.29,3.49,3.01,2.23
Brazil,Serie A,2018,09/06/2018,23:00,Vasco,Sport Recife,3,2,H,1.93,3.38,4.61,1.99,3.5,4.61,1.91,3.28,4.21
Brazil,Serie A,2018,10/06/2018,01:00,Corinthians,Vitoria,0,0,D,1.83,3.43,5.18,1.87,3.6,5.37,1.8,3.38,4.69
Brazil,Serie A,2018,10/06/2018,20:00,Atletico-MG,Fluminense,5,2,H,1.59,4.03,6.37,1.62,4.13,6.5,1.56,3.89,5.93
Brazil,Serie A,2018,10/06/2018,20:00,Bahia,Botafogo RJ,3,3,D,1.85,3.63,4.64,1.89,3.63,5.08,1.83,3.44,4.41
Brazil,Serie A,2018,10/06/2018,20:00,Ceara,Palmeiras,2,2,D,5.73,3.62,1.71,6,3.7,1.74,5.33,3.49,1.69
Brazil,Serie A,2018,10/06/2018,20:00,Gremio,America MG,1,0,H,1.32,4.99,13.01,1.37,5.04,13.14,1.33,4.62,10.59
Brazil,Serie A,2018,10/06/2018,23:00,Flamengo RJ,Parana,2,0,H,1.32,4.96,13.52,1.32,5.15,15.25,1.29,4.77,12.3
Brazil,Serie A,2018,10/06/2018,23:00,Santos,Internacional,1,2,A,2.38,3.13,3.4,2.39,3.28,3.6,2.28,3.1,3.29
Brazil,Serie A,2018,13/06/2018,01:30,Sao Paulo,Vitoria,3,0,H,1.42,4.74,8.44,1.44,4.92,10,1.4,4.56,7.64
Brazil,Serie A,2018,13/06/2018,20:00,America MG,Chapecoense-SC,0,0,D,2.18,3.2,3.8,2.2,3.3,3.9,2.12,3.16,3.6
Brazil,Serie A,2018,13/06/2018,23:00,Fluminense,Santos,0,1,A,2.69,3.21,2.87,2.71,3.4,3,2.57,3.16,2.77
Brazil,Serie A,2018,13/06/2018,23:30,Parana,Cruzeiro,1,1,D,3.95,3,2.24,3.95,3.2,2.27,3.74,2.96,2.17
Brazil,Serie A,2018,13/06/2018,23:30,Sport Recife,Gremio,0,0,D,3.31,3.13,2.43,3.35,3.2,2.6,3.11,2.98,2.44
Brazil,Serie A,2018,14/06/2018,01:00,Botafogo RJ,Atletico-PR,2,0,H,2.04,3.33,4.13,2.11,3.44,4.13,2.01,3.22,3.86
Brazil,Serie A,2018,14/06/2018,01:00,Palmeiras,Flamengo RJ,1,1,D,2.15,3.21,3.92,2.15,3.4,4.08,2.05,3.23,3.72
Brazil,Serie A,2018,14/06/2018,01:45,Atletico-MG,Ceara,2,1,H,1.31,5.71,10.79,1.31,5.85,12,1.29,5.32,10.03
Brazil,Serie A,2018,14/06/2018,01:45,Bahia,Corinthians,1,0,H,1.86,3.53,4.73,2.12,3.64,4.89,1.85,3.36,4.36
Brazil,Serie A,2018,14/06/2018,01:45,Internacional,Vasco,3,1,H,1.49,4.35,7.67,1.51,4.5,8.5,1.46,4.1,7.29
Brazil,Serie A,2018,18/07/2018,23:30,Ceara,Sport Recife,1,0,H,2.52,3.22,3.07,2.63,3.22,3.15,2.45,3.07,3.01
Brazil,Serie A,2018,19/07/2018,01:00,Vitoria,Parana,1,0,H,1.91,3.41,4.63,1.97,3.52,4.63,1.88,3.33,4.3
Brazil,Serie A,2018,19/07/2018,01:45,Corinthians,Botafogo RJ,2,0,H,1.93,3.4,4.5,1.98,3.54,4.51,1.92,3.28,4.18
Brazil,Serie A,2018,19/07/2018,01:45,Flamengo RJ,Sao Paulo,0,1,A,2,3.43,4.16,2.07,3.52,4.2,2.01,3.25,3.85
Brazil,Serie A,2018,19/07/2018,01:45,Gremio,Atletico-MG,2,0,H,1.6,3.98,6.43,1.67,3.98,6.7,1.6,3.7,5.91
Brazil,Serie A,2018,19/07/2018,23:30,Chapecoense-SC,Bahia,1,1,D,2.04,3.08,4.57,2.09,3.2,4.57,2.02,3.03,4.16
Brazil,Serie A,2018,19/07/2018,23:30,Cruzeiro,America MG,3,1,H,1.52,3.89,8.41,1.53,4.6,9.36,1.48,4,7.32
Brazil,Serie A,2018,20/07/2018,00:00,Santos,Palmeiras,1,1,D,2.61,3.27,2.91,2.7,3.27,2.97,2.57,3.13,2.8
Brazil,Serie A,2018,20/07/2018,00:00,Vasco,Fluminense,1,1,D,2.29,3.27,3.45,2.38,3.4,3.8,2.25,3.18,3.25
Brazil,Serie A,2018,20/07/2018,01:00,Atletico-PR,Internacional,2,2,D,2.66,3.11,2.98,2.72,3.12,3.1,2.61,2.95,2.89
Brazil,Serie A,2018,21/07/2018,23:00,Flamengo RJ,Botafogo RJ,2,0,H,1.69,3.58,6.16,1.74,3.68,6.16,1.67,3.51,5.49
Brazil,Serie A,2018,22/07/2018,01:00,Sao Paulo,Corinthians,3,1,H,2.11,3.1,4.22,2.15,3.25,4.32,2.05,3.08,3.95
Brazil,Serie A,2018,22/07/2018,20:00,Bahia,Vitoria,4,1,H,1.84,3.71,4.57,1.93,3.72,4.57,1.84,3.49,4.28
Brazil,Serie A,2018,22/07/2018,20:00,Palmeiras,Atletico-MG,3,2,H,1.56,4.27,6.28,1.61,4.29,6.51,1.55,4.02,5.85
Brazil,Serie A,2018,22/07/2018,20:00,Parana,America MG,1,0,H,2.35,3.15,3.44,2.48,3.17,3.8,2.29,2.99,3.4
Brazil,Serie A,2018,22/07/2018,20:00,Sport Recife,Fluminense,1,2,A,2.21,3.34,3.55,2.21,3.4,4,2.1,3.25,3.57
Brazil,Serie A,2018,22/07/2018,20:00,Vasco,Gremio,1,0,H,3.91,3.06,2.22,3.91,3.13,2.27,3.64,3.02,2.17
Brazil,Serie A,2018,22/07/2018,23:00,Chapecoense-SC,Santos,0,0,D,2.73,3.21,2.81,2.94,3.21,2.92,2.78,3.05,2.64
Brazil,Serie A,2018,22/07/2018,23:00,Cruzeiro,Atletico-PR,2,1,H,1.45,4.26,9.28,1.47,4.5,9.28,1.44,4.11,7.92
Brazil,Serie A,2018,24/07/2018,00:00,Internacional,Ceara,1,0,H,1.49,3.98,8.94,1.53,4.24,8.94,1.47,3.97,7.58
Brazil,Serie A,2018,25/07/2018,23:30,Fluminense,Palmeiras,1,0,H,3.39,3.39,2.26,3.46,3.48,2.29,3.27,3.27,2.2
Brazil,Serie A,2018,26/07/2018,01:00,Atletico-MG,Parana,2,0,H,1.49,4.18,8.16,1.51,4.54,8.22,1.47,4.17,6.94
Brazil,Serie A,2018,26/07/2018,01:45,Corinthians,Cruzeiro,2,0,H,3.41,3.03,2.44,3.51,3.1,2.53,3.31,2.93,2.36
Brazil,Serie A,2018,26/07/2018,01:45,Santos,Flamengo RJ,1,1,D,2.8,3.14,2.8,2.9,3.14,2.83,2.75,3.03,2.69
Brazil,Serie A,2018,26/07/2018,23:30,Botafogo RJ,Chapecoense-SC,1,0,H,1.83,3.44,5.15,1.89,3.5,5.15,1.83,3.29,4.67
Brazil,Serie A,2018,26/07/2018,23:30,Gremio,Sao Paulo,2,1,H,1.88,3.33,5,2,3.37,5.06,1.9,3.17,4.49
Brazil,Serie A,2018,26/07/2018,23:30,Vitoria,Sport Recife,1,0,H,2.24,3.52,3.31,2.3,3.52,3.44,2.19,3.31,3.24
Brazil,Serie A,2018,27/07/2018,00:00,America MG,Internacional,2,1,H,3.03,3.07,2.65,3.15,3.22,2.68,2.97,3.03,2.5
Brazil,Serie A,2018,28/07/2018,20:00,Ceara,Fluminense,1,0,H,2.62,3.27,2.9,2.82,3.27,2.97,2.61,3.09,2.77
Brazil,Serie A,2018,29/07/2018,15:00,Palmeiras,Parana,3,0,H,1.32,4.99,13.55,1.35,5.25,13.55,1.31,4.85,10.39
Brazil,Serie A,2018,29/07/2018,15:00,Vasco,Corinthians,1,4,A,2.88,3.06,2.79,2.98,3.22,2.79,2.81,2.99,2.66
Brazil,Serie A,2018,29/07/2018,20:00,Atletico-PR,Vitoria,4,0,H,1.67,4.21,5.14,1.73,4.4,5.27,1.66,3.92,4.85
Brazil,Serie A,2018,29/07/2018,20:00,Cruzeiro,Sao Paulo,0,2,A,1.7,3.79,5.56,1.78,3.79,5.75,1.69,3.55,5.23
Brazil,Serie A,2018,29/07/2018,20:00,Flamengo RJ,Sport Recife,4,1,H,1.39,4.69,10.07,1.4,4.78,10.5,1.38,4.39,8.8
Brazil,Serie A,2018,29/07/2018,20:00,Internacional,Botafogo RJ,3,0,H,1.56,4,7,1.61,4.24,7,1.56,3.79,6.29
Brazil,Serie A,2018,29/07/2018,23:00,Chapecoense-SC,Gremio,1,1,D,2.43,3.01,3.46,2.52,3.04,3.54,2.38,2.88,3.33
Brazil,Serie A,2018,29/07/2018,23:00,Santos,America MG,0,1,A,1.47,4.17,9.04,1.5,4.33,9.04,1.45,4.07,7.57
Brazil,Serie A,2018,31/07/2018,00:00,Bahia,Atletico-MG,2,2,D,2.23,3.43,3.42,2.34,3.5,3.43,2.22,3.33,3.19
Brazil,Serie A,2018,04/08/2018,20:00,Botafogo RJ,Santos,0,0,D,2.81,3.14,2.79,2.86,3.2,2.83,2.71,3.07,2.7
Brazil,Serie A,2018,04/08/2018,23:00,Gremio,Flamengo RJ,2,0,H,3.28,2.86,2.64,3.3,3,2.78,3.1,2.8,2.59
Brazil,Serie A,2018,05/08/2018,01:00,Corinthians,Atletico-PR,0,0,D,2.35,3.09,3.53,2.45,3.37,3.98,2.26,3.03,3.41
Brazil,Serie A,2018,05/08/2018,20:00,America MG,Palmeiras,0,0,D,3.37,3.2,2.36,3.42,3.25,2.4,3.23,3.13,2.29
Brazil,Serie A,2018,05/08/2018,20:00,Parana,Ceara,0,1,A,2.13,3.11,4.13,2.18,3.2,4.27,2.07,3.03,3.97
Brazil,Serie A,2018,05/08/2018,20:00,Sao Paulo,Vasco,2,1,H,1.44,4.37,9.1,1.46,4.44,9.7,1.41,4.2,8.23
Brazil,Serie A,2018,05/08/2018,20:00,Vitoria,Cruzeiro,1,1,D,2.67,3.24,2.85,2.76,3.32,2.9,2.56,3.16,2.77
Brazil,Serie A,2018,05/08/2018,23:00,Fluminense,Bahia,1,1,D,2.05,3.36,4.04,2.1,3.36,4.13,2.03,3.23,3.82
Brazil,Serie A,2018,05/08/2018,23:00,Sport Recife,Chapecoense-SC,1,1,D,2.07,3.04,4.52,2.11,3.3,4.61,2,3.08,4.12
Brazil,Serie A,2018,07/08/2018,00:00,Atletico-MG,Internacional,0,1,A,2.31,3.35,3.33,2.31,3.42,3.4,2.21,3.28,3.23
Brazil,Serie A,2018,08/08/2018,23:30,Ceara,Santos,1,1,D,3.08,3.11,2.59,3.2,3.13,2.6,3.06,3,2.46
Brazil,Serie A,2018,11/08/2018,20:00,Ceara,Atletico-PR,0,0,D,2.26,3.34,3.43,2.45,3.34,3.6,2.26,3.1,3.34
Brazil,Serie A,2018,11/08/2018,23:00,Bahia,America MG,1,0,H,1.63,3.88,6.22,1.7,3.9,6.22,1.62,3.69,5.68
Brazil,Serie A,2018,12/08/2018,15:00,Atletico-MG,Santos,3,1,H,2.11,3.26,3.96,2.11,3.6,4.23,1.96,3.41,3.85
Brazil,Serie A,2018,12/08/2018,15:00,Parana,Botafogo RJ,1,1,D,2.77,3.04,2.92,2.8,3.06,3,2.69,2.94,2.84
Brazil,Serie A,2018,12/08/2018,20:00,Chapecoense-SC,Corinthians,2,1,H,1.89,3.36,4.82,1.98,3.5,4.89,1.89,3.21,4.55
Brazil,Serie A,2018,12/08/2018,20:00,Flamengo RJ,Cruzeiro,1,0,H,1.7,3.44,6.51,1.8,3.58,6.51,1.68,3.41,5.72
Brazil,Serie A,2018,12/08/2018,20:00,Sport Recife,Sao Paulo,1,3,A,3.07,3.17,2.55,3.37,3.25,2.56,3.04,3.12,2.4
Brazil,Serie A,2018,12/08/2018,23:00,Gremio,Vitoria,4,0,H,1.66,3.86,5.8,1.73,3.88,6.13,1.65,3.62,5.51
Brazil,Serie A,2018,12/08/2018,23:00,Palmeiras,Vasco,1,0,H,1.62,4.06,5.91,1.65,4.1,6.32,1.61,3.82,5.52
Brazil,Serie A,2018,14/08/2018,00:00,Fluminense,Internacional,0,3,A,2.65,3.09,3.01,2.85,3.15,3.09,2.59,2.98,2.9
Brazil,Serie A,2018,18/08/2018,20:00,Santos,Sport Recife,3,0,H,1.51,4.37,7.04,1.55,4.4,7.08,1.51,4.02,6.61
Brazil,Serie A,2018,18/08/2018,23:00,Corinthians,Gremio,0,1,A,3.62,2.98,2.38,3.66,2.98,2.6,3.32,2.83,2.44
Brazil,Serie A,2018,19/08/2018,15:00,Atletico-PR,Flamengo RJ,3,0,H,2.53,3.25,3.03,2.7,3.25,3.04,2.53,3.08,2.88
Brazil,Serie A,2018,19/08/2018,15:00,Internacional,Parana,1,0,H,1.44,4.26,9.42,1.45,4.75,10.5,1.41,4.22,8.32
Brazil,Serie A,2018,19/08/2018,20:00,Botafogo RJ,Atletico-MG,0,3,A,2.41,3.37,3.1,2.45,3.5,3.18,2.31,3.29,3.04
Brazil,Serie A,2018,19/08/2018,20:00,Cruzeiro,Bahia,1,1,D,1.47,4.02,9.85,1.48,4.24,10,1.44,3.94,8.48
Brazil,Serie A,2018,19/08/2018,20:00,Vitoria,Palmeiras,0,3,A,3.47,3.5,2.18,3.53,3.52,2.23,3.35,3.36,2.13
Brazil,Serie A,2018,19/08/2018,23:00,America MG,Fluminense,0,0,D,2.49,3.2,3.14,2.53,3.22,3.23,2.39,3.08,3.11
Brazil,Serie A,2018,19/08/2018,23:00,Sao Paulo,Chapecoense-SC,2,0,H,1.68,3.42,6.88,1.68,3.75,7.65,1.6,3.55,6.49
Brazil,Serie A,2018,21/08/2018,00:00,Vasco,Ceara,1,1,D,1.7,3.52,6.25,1.76,3.55,6.25,1.68,3.43,5.59
Brazil,Serie A,2018,22/08/2018,23:30,Bahia,Internacional,0,1,A,2.67,2.93,3.13,2.74,3,3.13,2.59,2.88,2.99
Brazil,Serie A,2018,22/08/2018,23:30,Parana,Sao Paulo,1,1,D,4.82,3.23,1.96,5.18,3.34,1.99,4.45,3.21,1.9
Brazil,Serie A,2018,23/08/2018,01:00,Palmeiras,Botafogo RJ,2,0,H,1.39,4.66,9.92,1.4,4.9,10.02,1.37,4.58,8.68
Brazil,Serie A,2018,23/08/2018,01:00,Sport Recife,America MG,0,2,A,1.94,3.26,4.72,2.01,3.5,4.75,1.92,3.23,4.27
Brazil,Serie A,2018,23/08/2018,01:45,Fluminense,Corinthians,1,0,H,2.16,3.14,4.02,2.33,3.22,4.15,2.1,3.06,3.83
Brazil,Serie A,2018,23/08/2018,01:45,Gremio,Cruzeiro,1,1,D,1.88,3.1,5.51,1.94,3.2,5.51,1.86,3.08,4.89
Brazil,Serie A,2018,23/08/2018,23:30,Flamengo RJ,Vitoria,1,0,H,1.28,5.57,13.69,1.36,5.65,13.69,1.29,5.19,10.83
Brazil,Serie A,2018,24/08/2018,00:00,Atletico-MG,Vasco,0,0,D,1.48,4.47,7.57,1.5,4.54,8.5,1.46,4.26,6.93
Brazil,Serie A,2018,25/08/2018,20:00,Santos,Bahia,2,0,H,1.83,3.43,5.13,1.87,3.43,5.28,1.81,3.32,4.76
Brazil,Serie A,2018,25/08/2018,23:00,Atletico-PR,Gremio,2,1,H,2.13,3.13,4.11,2.15,3.44,4.36,2.03,3.1,3.98
Brazil,Serie A,2018,25/08/2018,23:00,Corinthians,Parana,1,0,H,1.7,3.35,6.78,1.75,3.4,6.78,1.69,3.29,6.02
Brazil,Serie A,2018,26/08/2018,01:00,Botafogo RJ,Sport Recife,2,0,H,1.76,3.71,5.1,1.86,3.71,5.2,1.76,3.47,4.79
Brazil,Serie A,2018,26/08/2018,01:00,Cruzeiro,Fluminense,2,1,H,1.58,3.97,6.78,1.64,3.97,7,1.58,3.7,6.23
Brazil,Serie A,2018,26/08/2018,15:00,Sao Paulo,Ceara,1,0,H,1.41,4.49,9.86,1.42,4.75,12,1.38,4.4,9.07
Brazil,Serie A,2018,26/08/2018,20:00,America MG,Flamengo RJ,2,2,D,4.43,3.37,1.96,4.5,3.4,2.3,4.14,3.16,1.98
Brazil,Serie A,2018,26/08/2018,20:00,Internacional,Palmeiras,0,0,D,2.11,3.25,3.95,2.15,3.3,4,2.1,3.13,3.69
Brazil,Serie A,2018,26/08/2018,20:00,Vitoria,Atletico-MG,1,0,H,3.29,3.74,2.16,3.4,3.76,2.2,3.17,3.48,2.16
Brazil,Serie A,2018,26/08/2018,23:00,Vasco,Chapecoense-SC,3,1,H,1.98,3.32,4.42,2.01,3.34,4.7,1.94,3.17,4.29
Brazil,Serie A,2018,29/08/2018,23:30,Atletico-PR,Vasco,1,0,H,1.61,3.95,6.26,1.68,3.95,6.26,1.62,3.74,5.64
Brazil,Serie A,2018,29/08/2018,23:30,Ceara,Bahia,0,2,A,2.54,3.06,3.19,2.63,3.06,3.3,2.52,2.91,3.09
Brazil,Serie A,2018,01/09/2018,20:00,Gremio,Botafogo RJ,4,0,H,1.43,4.45,9.4,1.57,4.65,9.75,1.42,4.17,8.39
Brazil,Serie A,2018,01/09/2018,20:00,Vitoria,America MG,1,0,H,2.11,3.24,4,2.15,3.32,4.5,2.01,3.2,3.97
Brazil,Serie A,2018,01/09/2018,23:00,Vasco,Santos,0,3,A,2.6,3.09,3.08,2.7,3.1,3.16,2.56,3,2.94
Brazil,Serie A,2018,02/09/2018,01:00,Corinthians,Atletico-MG,1,1,D,2.95,3.27,2.58,3.02,3.27,2.8,2.86,3.12,2.54
Brazil,Serie A,2018,02/09/2018,15:00,Flamengo RJ,Ceara,0,1,A,1.33,4.99,12.24,1.4,5.25,12.75,1.34,4.6,10.14
Brazil,Serie A,2018,02/09/2018,20:00,Atletico-PR,Bahia,2,0,H,1.87,3.49,4.71,1.91,3.56,4.8,1.84,3.39,4.46
Brazil,Serie A,2018,02/09/2018,20:00,Sao Paulo,Fluminense,1,1,D,1.63,3.73,6.72,1.67,3.75,6.89,1.61,3.62,6.15
Brazil,Serie A,2018,02/09/2018,20:00,Sport Recife,Parana,1,0,H,1.85,3.39,5.09,1.94,3.52,5.09,1.86,3.27,4.57
Brazil,Serie A,2018,02/09/2018,23:00,Chapecoense-SC,Palmeiras,1,2,A,3.74,3.1,2.25,4,3.1,2.31,3.61,2.97,2.22
Brazil,Serie A,2018,02/09/2018,23:00,Cruzeiro,Internacional,0,0,D,2.04,3.11,4.48,2.15,3.2,4.48,2.04,3.03,4.11
Brazil,Serie A,2018,05/09/2018,23:30,Bahia,Sport Recife,2,0,H,1.65,3.83,6.01,1.69,3.83,6.25,1.64,3.6,5.66
Brazil,Serie A,2018,05/09/2018,23:30,Botafogo RJ,Cruzeiro,1,1,D,3.27,2.99,2.57,3.27,3.09,2.67,3.11,2.96,2.49
Brazil,Serie A,2018,06/09/2018,00:00,Ceara,Corinthians,2,1,H,2.32,3.06,3.61,2.38,3.1,3.71,2.26,2.96,3.55
Brazil,Serie A,2018,06/09/2018,01:00,Palmeiras,Atletico-PR,2,0,H,1.55,3.8,8.05,1.58,4,8.41,1.52,3.78,7.18
Brazil,Serie A,2018,06/09/2018,01:00,Parana,Chapecoense-SC,1,1,D,2.49,2.91,3.49,2.52,3,3.54,2.39,2.87,3.35
Brazil,Serie A,2018,06/09/2018,01:45,Atletico-MG,Sao Paulo,1,0,H,2.11,3.54,3.66,2.3,3.54,3.8,2.11,3.29,3.53
Brazil,Serie A,2018,06/09/2018,01:45,Internacional,Flamengo RJ,2,1,H,2.08,3,4.59,2.13,3.15,4.59,2.04,3.03,4.11
Brazil,Serie A,2018,06/09/2018,23:00,Fluminense,Vitoria,0,0,D,1.73,3.59,5.67,1.8,3.63,5.75,1.73,3.47,5.09
Brazil,Serie A,2018,06/09/2018,23:00,Santos,Gremio,0,0,D,2.69,2.82,3.27,2.7,3,3.3,2.57,2.84,3.09
Brazil,Serie A,2018,07/09/2018,00:00,America MG,Vasco,2,1,H,2.73,3.05,2.96,2.76,3.12,3.03,2.65,2.95,2.87
Brazil,Serie A,2018,08/09/2018,20:00,Sport Recife,Cruzeiro,0,0,D,3.69,3,2.34,3.76,3.06,2.39,3.5,2.91,2.29
Brazil,Serie A,2018,08/09/2018,23:00,Sao Paulo,Bahia,1,0,H,1.75,3.25,6.5,1.77,3.6,6.5,1.71,3.3,5.72
Brazil,Serie A,2018,09/09/2018,01:00,Flamengo RJ,Chapecoense-SC,2,0,H,1.52,3.94,8.3,1.53,4.1,9.2,1.5,3.8,7.34
Brazil,Serie A,2018,09/09/2018,20:00,America MG,Ceara,0,0,D,1.99,3.28,4.45,2.02,3.5,4.5,1.94,3.23,4.19
Brazil,Serie A,2018,09/09/2018,20:00,Fluminense,Botafogo RJ,1,0,H,2.46,3.13,3.25,2.59,3.13,3.3,2.47,3,3.05
Brazil,Serie A,2018,09/09/2018,20:00,Internacional,Gremio,1,0,H,2.55,2.86,3.43,2.6,2.9,3.5,2.5,2.77,3.3
Brazil,Serie A,2018,09/09/2018,20:00,Palmeiras,Corinthians,1,0,H,1.64,3.61,6.88,1.64,3.85,7.4,1.58,3.59,6.66
Brazil,Serie A,2018,09/09/2018,23:00,Parana,Santos,0,2,A,3.62,3,2.36,3.75,3.05,2.38,3.43,2.95,2.31
Brazil,Serie A,2018,09/09/2018,23:00,Vitoria,Vasco,1,0,H,2.34,3.27,3.34,2.35,3.3,3.46,2.26,3.16,3.28
Brazil,Serie A,2018,11/09/2018,00:00,Atletico-MG,Atletico-PR,3,1,H,1.98,3.31,4.45,2,3.4,4.7,1.93,3.28,4.18
Brazil,Serie A,2018,14/09/2018,00:00,Chapecoense-SC,Atletico-PR,2,1,H,3.09,2.89,2.75,3.13,3,2.92,2.89,2.83,2.75
Brazil,Serie A,2018,15/09/2018,20:00,Ceara,Vitoria,2,0,H,1.89,3.41,4.58,1.98,3.44,4.58,1.92,3.26,4.24
Brazil,Serie A,2018,15/09/2018,20:00,Gremio,Parana,2,0,H,1.55,3.8,7.48,1.56,4.1,9.17,1.52,3.78,7.29
Brazil,Serie A,2018,15/09/2018,23:00,Vasco,Flamengo RJ,1,1,D,5.41,3.69,1.71,5.56,3.74,1.78,5.13,3.49,1.72
Brazil,Serie A,2018,16/09/2018,15:00,Botafogo RJ,America MG,1,0,H,1.71,3.47,6,1.75,3.75,6.3,1.66,3.56,5.71
Brazil,Serie A,2018,16/09/2018,20:00,Atletico-PR,Fluminense,3,1,H,1.61,3.95,6.07,1.67,4.05,6.3,1.62,3.75,5.65
Brazil,Serie A,2018,16/09/2018,20:00,Bahia,Palmeiras,1,1,D,2.98,3.09,2.63,3.17,3.14,2.7,2.94,2.98,2.57
Brazil,Serie A,2018,16/09/2018,20:00,Cruzeiro,Atletico-MG,0,0,D,2.69,3.13,2.87,2.96,3.2,2.91,2.76,3.04,2.7
Brazil,Serie A,2018,16/09/2018,20:00,Santos,Sao Paulo,0,0,D,2.42,3.09,3.37,2.46,3.2,3.42,2.37,3,3.25
Brazil,Serie A,2018,16/09/2018,23:00,Corinthians,Sport Recife,2,1,H,1.64,3.65,6.44,1.66,3.75,7.08,1.63,3.51,6.21
Brazil,Serie A,2018,18/09/2018,00:00,Chapecoense-SC,Internacional,2,1,H,3.85,3.03,2.22,4,3.12,2.33,3.69,2.98,2.19
Brazil,Serie A,2018,22/09/2018,20:00,Sao Paulo,America MG,1,1,D,1.44,4.12,10.23,1.48,4.44,10.5,1.43,4.02,8.87
Brazil,Serie A,2018,23/09/2018,15:00,Gremio,Ceara,3,2,H,1.34,4.56,14,1.39,4.56,14,1.35,4.26,11.64
Brazil,Serie A,2018,23/09/2018,20:00,Atletico-PR,Parana,3,0,H,1.52,4.21,7.15,1.6,4.25,8,1.5,3.95,6.96
Brazil,Serie A,2018,23/09/2018,20:00,Corinthians,Internacional,1,1,D,2.78,2.92,2.98,2.84,3.06,3.1,2.69,2.86,2.92
Brazil,Serie A,2018,23/09/2018,20:00,Flamengo RJ,Atletico-MG,2,1,H,1.81,3.46,5.08,1.9,3.5,5.08,1.82,3.37,4.62
Brazil,Serie A,2018,23/09/2018,22:00,Sport Recife,Palmeiras,0,1,A,4.62,3.45,1.88,4.75,3.52,1.93,4.4,3.33,1.87
Brazil,Serie A,2018,23/09/2018,22:00,Vitoria,Botafogo RJ,3,4,A,2.87,3.14,2.71,2.9,3.18,2.9,2.72,3.02,2.75
Brazil,Serie A,2018,23/09/2018,23:00,Cruzeiro,Santos,2,1,H,2.43,3.01,3.41,2.5,3.06,3.43,2.42,2.91,3.26
Brazil,Serie A,2018,25/09/2018,00:00,Chapecoense-SC,Fluminense,1,2,A,2.28,3.07,3.67,2.31,3.25,4.05,2.21,3.04,3.57
Brazil,Serie A,2018,25/09/2018,00:00,Vasco,Bahia,2,1,H,2.06,3.44,3.84,2.1,3.44,4.2,2.05,3.24,3.79
Brazil,Serie A,2018,28/09/2018,00:00,Santos,Vasco,1,1,D,1.51,3.95,8.22,1.51,4.2,10,1.47,3.95,7.66
Brazil,Serie A,2018,29/09/2018,20:00,Fluminense,Gremio,0,1,A,3,3.11,2.67,3,3.11,3.05,2.82,2.95,2.7
Brazil,Serie A,2018,29/09/2018,23:00,America MG,Corinthians,0,0,D,2.41,2.98,3.56,2.5,3,3.7,2.35,2.87,3.44
Brazil,Serie A,2018,30/09/2018,01:00,Bahia,Flamengo RJ,0,0,D,2.78,3.18,2.81,2.8,3.2,2.88,2.72,3.05,2.71
Brazil,Serie A,2018,30/09/2018,15:00,Palmeiras,Cruzeiro,3,1,H,1.61,3.67,6.86,1.62,3.75,7.46,1.58,3.59,6.57
Brazil,Serie A,2018,30/09/2018,20:00,Atletico-MG,Sport Recife,5,2,H,1.35,4.86,10.67,1.4,5,10.67,1.35,4.69,9.09
Brazil,Serie A,2018,30/09/2018,20:00,Botafogo RJ,Sao Paulo,2,2,D,2.71,3.15,2.9,2.78,3.15,2.9,2.65,3.04,2.79
Brazil,Serie A,2018,30/09/2018,20:00,Internacional,Vitoria,2,1,H,1.32,5.15,11.04,1.35,5.2,12,1.31,4.97,9.95
Brazil,Serie A,2018,30/09/2018,20:00,Santos,Atletico-PR,1,0,H,1.96,3.32,4.52,1.98,3.4,4.58,1.93,3.23,4.23
Brazil,Serie A,2018,30/09/2018,23:00,Ceara,Chapecoense-SC,3,1,H,2.13,3.01,4.31,2.2,3.1,4.7,2.08,2.98,4.07
